RTX 4080,,,,RTX 4090,,
duration (s) ,convert time(s),convert/duration (smaller is better),,duration (s) ,convert time(s),convert/duration (smaller is better)
62.262688,7.43,0.1193226351,,0.1,7.13,71.33321
60.20675,5.60,0.09300975389,,102.866249,645.28,6.273022447
99.755187,472.07,4.732270092,,118.244875,645.28,5.457169192
60.061687,228.96,3.812072445,,104.060374,559.32,5.374972687
67.609875,270.34,3.998581923,,80.112,322.23,4.022204951
73.224563,298.76,4.079985114,,80.112,317.77,3.966596989
119.015,"1,197.28",10.05989947,,80.112,317.08,3.95799105
119.015,"1,196.85",10.05628967,,97.238,439.09,4.515662776
107.308375,"1,003.20",9.348789403,,97.238,439.05,4.515216839
81.825562,659.51,8.060004513,,57.911187,209.18,3.612003308
47.598687,311.11,6.536097057,,66.425438,253.60,3.817790678
83.899,664.18,7.916444141,,66.905,200.37,2.994774531
83.899,664.72,7.922869164,,66.905,199.90,2.987870936
59.369813,409.92,6.904536317,,65.464999,194.79,2.975559444
97.443063,841.19,8.632582065,,82.541063,267.65,3.242640866
59.393375,423.48,7.130058075,,98.197563,351.55,3.580045933
60.310625,427.60,7.08993543,,104.240188,372.75,3.575861318
75.837063,587.23,7.743285628,,10.523624,36.15,3.435547013
60.058438,420.88,7.007771181,,86.522,291.92,3.373954566
86.12275,695.11,8.071128987,,86.523,291.84,3.373013037
116.95,"1,160.89",9.926417914,,86.522,291.80,3.372546451
116.951,"1,159.70",9.916093005,,14.069188,42.85,3.045632129
116.95,"1,158.90",9.909335297,,115.690999,448.31,3.875022602
116.95,"1,160.00",9.918742847,,74.15975,231.98,3.128120052
88.622874,736.88,8.314748053,,64.964,194.22,2.989661043
55.305687,381.67,6.901084458,,64.964,194.21,2.989505218
58.145312,405.20,6.968712233,,11.119313,38.21,3.436531915
61.382812,438.99,7.151615016,,,,
115.696,"1,115.23",9.639271418,,,,
115.697,"1,115.24",9.63931019,,,,
115.696,"1,115.17",9.638786,,,,
38.772937,243.83,6.288573832,,,,
92.876938,772.90,8.321791875,,,,
60.994625,432.06,7.083534525,,,,
63.848563,459.73,7.200387658,,,,
57.862188,398.21,6.882032581,,,,
